cancer_project	cancer_type_abbr	tool	driver_gene
Adrenocortical_carcinoma(TCGA,US)	ACC	activedriver	APC, USF3, TMCC1, CXXC1, CPS1, KIAA1671, ADNP, COBL, C9, CTNNB1, FOXO1, HLTF, FADD, TRIP13, TRPC6, SMC4, MAP1B, RANBP2, ASCC3, GCN1, MDC1, CEP170, ANKS1A, MYH4, MYH2, CHD7, SMPD4, TAOK1, ARHGAP21, ANK3, SCAF1, PLA2G4A, JMJD1C, MYO1G, TNKS1BP1, FHAD1, XIRP2, FRMD7
Adrenocortical_carcinoma(TCGA,US)	ACC	comet	ANO2, ANK3, STAB1, CLTB, HUWE1, EPG5, CHD2, RBM27, PIK3AP1, TENM3, PCDHA2, MYH6, RIMS1, CUX1, FBN1, ANK2, ATP2B3, FAM171B, CMYA5, RGSL1, RP1L1, SRRM2, UBR4, KIRREL1, NOTCH3, DNAH7, NR2F1, DNAH6, DOCK2, PDILT, GNAS, IRX4, IGFN1, BEND3, GOLGA4, KCNH7, TENM1, HAVCR1, PKHD1L1, ATRX, TG, ITIH1, ZNF793, SMARCAL1, KCNH1, KIF26B, ADAMTS19, HIVEP2, PCDHGA3, PRKAG2, WDR44, KIAA1109, SMC4, MED23, LAMA1, OSMR, SIPA1L3, CTNNB1, TMEM247, COL5A2, PCDHB9, CAPN6, LRRD1, PLEC, ZCCHC6, SETBP1, HMCN1, VPS13A, SPATA31E1, PKHD1, CD163L1, ERBB4, SPTBN5, SVEP1, PARP12, DNAH5, USH2A, CEP128, DNAH10, COL19A1, GCN1, KIF5A, UNC5C, GTF3C1, SCN8A, PEG3, HIVEP1, PER3, RP1, TWISTNB, ST18, RIMS2, ASXL3, PCDH7, SPHKAP, GLB1L2, TMCC1, ATF7IP, DMD, MPDZ, PCDH10, SCN11A, KMT2B, ADAMTS16, NELL1, ASMTL, DSC2, FHAD1, TKTL2, APC, EXD2, MYT1L, HRNR, PCDHGB7, ARHGEF28, RBM10, CRIM1, NLRP12, PLCG1, SLCO6A1, SPATA9, CUBN, SCN7A, FBN2, SULF2, SLC5A5, ZNF648, GPRASP2, ALOX5, SLC4A10, NF1, NRK, COL4A6, CHL1, PCDHB11, RELN, CENPE, WDR45, GRM3, DSG1, TGM6, ADAMTS17, TFDP3, RANBP17, PCNX2, JAK3, MYO1F, ZFPM2, CCDC168, OBSCN, LAMA2, LRP1, FLNA, KCTD16, DAXX, PRX, DNAH3, MCF2L2, TP53, EGFLAM, LRRC4C, TENM2, PCDHB5, PHKB, CCDC73, CNTNAP5, FAM81B, ALG13, SLC4A11, MME, CYP4A22, C12orf65, KIF1A, TRIOBP, LRRC34, KMT2A, SP140, CEP290, ANKRD30B, AHNAK2, NSD1, FRAS1, PARP1, DACT1, CACNA1F, RANBP2, SLCO4C1, SUOX, PTPRD, ZFAT, KAT6A, GRID2IP, SI, FRMPD3, CDKL5, SYNE1, DCLK1, PRAMEF19, TNR, ITPR3, MEN1, FBN3, NLRP3, KMT2C, TIAM1, NAV3, RBM20, STAB2, DNAJC13, MAMLD1, NLRP5, AKAP12, VCAN, ENTPD4, LRP1B, PAPPA, ZNF831, NFE2, FLG, PRUNE2, CCIN, RBM12, SMC3, CDH4, FAT3, ATM, VPS35, CDH23, ABCC11, AGBL1, FAM135B, DNAH11, PAK3, HERC2, LRFN5, FAT4, TAF1, SCN2A, ABCA12, DSCAM, CNTN5, DAB2, NLN, CFAP47, MYO1G, PRKAR1A, MACF1, SETD5, PAPPA2, AMER3, PRDM9, XDH, NOS3, TLR4, SLITRK3, MYLK, TTC21A, DNAH17, VWA5B2, ADGRV1, TGFBR3, VWF, COL5A1, ROBO2, PLXNB3, COL18A1, GFRA1, PITX2, SCAF4, KDM7A, ADAMTS2, MXRA5, TRPA1, PHRF1, PLA2G4A, UGT2A3, PI4KA, NLRP1, CST9, APBA2, PLXNB2, RTL1, HK2, HSPG2, MYO18B, FLT4, MAP7D3, RPTN, RTEL1-TNFRSF6B, NEXMIF, AVPR1A, PXDNL, ENPEP, HEPH, TSHZ3, SLIT2, TTLL5, SRP72, CYFIP2, APOB, UNC13C, KMT2D, PGK2, VAV3, WDFY4, TBC1D32, TMEM132D, SYNE2, CHD7, TPTE, XIRP2, TMEM2, FNDC1, DNHD1, ADGRG4, POLE, FAT1, ZNF804B, GRIK1, FSTL5, CDX4, BCORL1, NID2, EHMT1, FRMPD4, ARAP2, HFM1
Adrenocortical_carcinoma(TCGA,US)	ACC	dendrix	NLRP12, GOLGA4, NAV3, UNC13C, CMYA5, CCDC168, ANK2, PCDH15, SCN8A, TAF1, NEXMIF, CNTNAP5, SMC3, VPS35, GNAS, MYO1F, KMT2D, AHNAK2, LRP1, NF1, MXRA5, SLC4A11, MAP7D3, PCNX2, FBN2, PAPPA2, CDKL5, DNAH5, SMARCAL1, DNAH3, SLC5A5, SI, STAB2, TENM3, SVEP1, MEN1, FLT4, NLRP3, TMEM247, CTNNB1, PI4KA, ADAMTS19, DNAJC13, ZCCHC6, HSPG2, LVRN, SETBP1, PRX, ARHGEF28, ST18, ATRX, MACF1, FHAD1, SMC4, APOB, TMEM132D, CDH4, KMT2B, SLIT2, ADAMTS16, NLN, TFDP3, ATM, FLG, ALOX5, RIMS1, VPS13A, HAVCR1, NOS3, TP53, SP140, FSTL5, PIK3AP1, DIDO1, RBM20, PKHD1L1, ENPEP, CLTB, IRX4, OSMR, NEB, C12orf65, MYLK, MYO1G, DNHD1, LRP4, PCDHGB7, TNR, CEP128, LAMA2, SCAF4, SCN7A, TKTL2, MAMLD1, NSD1, GPRASP2, DAXX, PLXNB3, KIRREL1, RGSL1, TWISTNB, ASMTL, EXD2, TENM2, NFE2, SPATA31E1, PRDM9, CD163L1, KIF26B, UBR4, RBM12, NOTCH3, TRIOBP, FAT3, DSC2, PCDH7, LAMA1, XDH, FRAS1, CUX1, SLCO6A1, CNTN5, LRRC4C, PRKAG2, MYO9B, ZFAT, GTF3C1, TGM6, KIAA1109, DNAH17, ANKRD30B, EPG5, XIRP2, DNAH6, CFAP47, PLXNB2, TRPV4, DSG1, BEND3, CDX4, ATF7IP, GRIK1, VAV3, GLB1L2, SUOX, SLCO4C1, PRUNE2, KMT2A, DACT1, MED23, RBM27, ZNF831, AVPR1A, ITIH1, COL5A1, BCORL1, KCTD16, PXDNL, RANBP2, IGFN1, PGK2, CACNA1F, KMT2C, FAM81B, PLEC, SCN11A, DNAH11, GRM3, PCDHB9, VCAN, UNC5C, NELL1, COL5A2, PCDHB11, MME, ACSL1, SYNE1, DNAH10, SYNE2, SLITRK3, PCDHA2, LRFN5
Adrenocortical_carcinoma(TCGA,US)	ACC	driverml	EXPH5, EML6, TP53, MUC4, NUP188
Adrenocortical_carcinoma(TCGA,US)	ACC	e-driver	XIRP2, SVEP1, CSMD3, CCDC168, HMCN1, VWF, GRID2IP, FAT4, RIMS1, ERBB4, LAMA1, TP53, FAT3, SCN2A, TTN, NEB
Adrenocortical_carcinoma(TCGA,US)	ACC	ipac	MUC4, CTNNB1
Adrenocortical_carcinoma(TCGA,US)	ACC	msea	TMEM247, CSMD3, SPHKAP, MUC4, PLEKHG6, CTNNB1, WDFY4, LAMA1, FBN3, OBSCN, KCNH1, UNC5D, ZNF831, SRRM2, TTN, KIAA1671, ERBB4, CRYBG1
Adrenocortical_carcinoma(TCGA,US)	ACC	mutsigcv	DNAH2, TFRC
Adrenocortical_carcinoma(TCGA,US)	ACC	netbox	ACSL1, AKAP12, ALOX5, ANK2, ANK3, APBA2, APC, APOB, ASMTL, ATF7IP, ATM, ATRX, AVPR1A, CACNA1F, CCIN, CDH23, CDH4, CDX4, CENPE, CEP290, CLTB, CMYA5, COL18A1, COL4A6, COL5A1, COL5A2, CTNNB1, CUBN, CYFIP2, DAB2, DAXX, DMD, DOCK2, DSC2, DSCAM, DSG1, DST, EHMT1, ENPEP, ERBB4, FAT4, FBN1, FBN2, FLG, FLNA, FLT4, FRMPD4, GFRA1, GNAS, GOLGA4, GPRASP2, GRIK1, GRIP1, GRM3, GTF3C1, HAVCR1, HERC2, HIVEP1, HIVEP2, HK2, HSPG2, HUWE1, IRX4, ITPR3, JAK3, KCNH1, KIF1A, KIF5A, LAMA1, LAMA2, LRP1, LRP1B, LRP4, LRRC4C, MACF1, MCF2L2, MEN1, MME, MPDZ, MYLK, MYO15A, MYO18B, MYO1F, MYO9B, NEB, NELL1, NF1, NFE2, NID2, NLN, NLRP1, NLRP12, NLRP3, NOS3, NOTCH3, NR2F1, NRK, NSD1, OBSCN, OSMR, PAK3, PAPPA, PAPPA2, PARP1, PCDH7, PEG3, PER3, PHKB, PI4KA, PIK3AP1, PITX2, PKHD1, PLA2G4A, PLCG1, PLXNB2, PLXNB3, POLE, PRKAG2, PRKAR1A, PRUNE2, PRX, PTPRD, RANBP2, RBM10, RBM12, RELN, RIMS1, RIMS2, ROBO2, RP1, SCN2A, SCN8A, SETBP1, SETD5, SI, SLC4A2, SLIT2, SMC3, SMC4, SP140, SRP72, SRRM2, SSPO, STAB1, SVEP1, SYNE1, SYNE2, TAF1, TG, TGFBR3, TIAM1, TKTL2, TLR4, TNR, TP53, TRIOBP, TRPV4, TTLL5, UNC5C, USH2A, VAV3, VCAN, VPS35, VWF, WDR44, XDH, ZFPM2
Adrenocortical_carcinoma(TCGA,US)	ACC	oncodriveclust	TMEM247, CTNNB1
